LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-91.1112272,40.7935112,1405,S 12TH STREET,,BURLINGTON,,,,60,40a954ab5ea2c5ae
-91.1088884,40.789519,1819,S 10TH STREET,,BURLINGTON,,,,61,2fabdc94a36cba62
-91.114573,40.7927756,1503,S 15TH STREET,,BURLINGTON,,,,62,b0e04bbf726d5a26
-91.1148071,40.804187,407,MAY AVENUE,,BURLINGTON,,,,63,9e80a4ef4ca81620
-91.1266451,40.8204758,911,CURRAN STREET,,BURLINGTON,,,,64,7be7e11543b7eef7
-91.1061861,40.7869522,739,DUNHAM STREET,,BURLINGTON,,,,65,255bd211af812388
-91.1353664,40.8188173,803,MELROSE COURT,,BURLINGTON,,,,66,885db18236dd371c
-91.1340741,40.8188256,805,ARGYLE COURT,,BURLINGTON,,,,67,9b664327eedaba1d
-91.1050007,40.8047999,405,MAPLE STREET,,BURLINGTON,,,,68,ea0352e582ed900a
-91.1054766,40.8047718,413,MAPLE STREET,,BURLINGTON,,,,69,b1c9f752459d45a0
-91.1056188,40.8046983,419,MAPLE STREET,,BURLINGTON,,,,70,4a25323abe857e7b
-91.105531,40.8044714,412,S 5TH STREET,,BURLINGTON,,,,71,66bdb4f00585e922
-91.1055196,40.804362,414,S 5TH STREET,,BURLINGTON,,,,72,3363a5810373516f
-91.1343047,40.8128462,2695,NEWBURY CIRCLE,,BURLINGTON,,,,73,d0be04b2d83eee08
-91.1074916,40.8179032,923,N 9TH STREET,,BURLINGTON,,,,74,309535b770b680ed
-91.108155,40.8090341,101,S 7TH STREET,,BURLINGTON,,,,75,02f702b5f539b138
-91.1279328,40.8369417,2606,CLIFFWOOD DRIVE,,BURLINGTON,,,,76,46a589d1971e8110
-91.1213053,40.807495,1715,DIVISION STREET,,BURLINGTON,,,,77,3025646a3859bb39
-91.1043776,40.7869238,621,DUNHAM STREET,,BURLINGTON,,,,78,2dcdfce12d491cf0
-91.1142002,40.7886026,1913,S 15TH STREET,,BURLINGTON,,,,79,c6fc6872720065d8
-91.1009092,40.816001,903,N 3RD STREET,,BURLINGTON,,,,80,faf41f32d2178000
-91.1154567,40.8073352,307,S WOODLAWN AVENUE,,BURLINGTON,,,,81,9fa02b1cc15540f4
-91.1116645,40.7782066,1304,PARKWAY DRIVE,,BURLINGTON,,,,82,78780f0e48e149c8
-91.1312264,40.8099243,109,HAYES STREET,,BURLINGTON,,,,83,57d9b84d633e0b94
-91.0969856,40.795045,111,CLAY STREET,,BURLINGTON,,,,84,954347d845a9c736
-91.1207765,40.7931108,1429,S GARFIELD AVENUE,,BURLINGTON,,,,85,9a59c60a5d93a48f
-91.1131394,40.7652927,5873,MADISON AVENUE,,BURLINGTON,,,,86,d4f797145c8918a0
-91.1240905,40.8005296,2006,WEST AVENUE,,BURLINGTON,,,,87,611b0e04acac31cf
-91.1122859,40.8088331,128,S CENTRAL AVENUE,,BURLINGTON,,,,88,1b9e86f77b5f2053
-91.1151776,40.7930894,1414,SUMMER STREET,,BURLINGTON,,,,89,74cecf76704bf3d2
-91.1270739,40.9657657,19611,SEVEN PONDS ROAD,,SPERRY,,,,90,ba33c52bb8a72cc2
